ID,Date,y,Hour,Temperature(�C),Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(�C),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm),Seasons,Holiday,Functioning Day,timestamp
217,10/12/2017,280,1,-0.2,54,0.5,1747,-8.4,0,0,0,Winter,No Holiday,Yes,12/10/2017
218,10/12/2017,243,2,0.2,52,0.7,1726,-8.5,0,0,0,Winter,No Holiday,Yes,12/10/2017
219,10/12/2017,169,3,0.3,53,0.5,1748,-8.1,0,0,0,Winter,No Holiday,Yes,12/10/2017
220,10/12/2017,71,4,0.4,52,1.6,1816,-8.3,0,0,0,Winter,No Holiday,Yes,12/10/2017
221,10/12/2017,13,5,0.3,74,1,178,-3.7,0,0,0.7,Winter,No Holiday,Yes,12/10/2017
222,10/12/2017,9,6,-0.5,90,0.9,91,-1.9,0,2.5,2.7,Winter,No Holiday,Yes,12/10/2017
223,10/12/2017,20,7,-0.4,92,1.1,121,-1.5,0,0,4,Winter,No Holiday,Yes,12/10/2017
224,10/12/2017,35,8,-0.2,90,1.2,378,-1.6,0,0,4.1,Winter,No Holiday,Yes,12/10/2017
225,10/12/2017,31,9,0.2,90,1,305,-1.2,0,1.6,4.3,Winter,No Holiday,Yes,12/10/2017
226,10/12/2017,19,10,0.5,91,0.4,143,-0.8,0,0,4.3,Winter,No Holiday,Yes,12/10/2017
227,10/12/2017,58,11,0.9,92,0.9,137,-0.2,0.03,0,3.9,Winter,No Holiday,Yes,12/10/2017
228,10/12/2017,119,12,2.3,88,0.3,245,0.5,0.28,0,3.1,Winter,No Holiday,Yes,12/10/2017
229,10/12/2017,182,13,3.3,87,1.1,230,1.3,0.54,0,2.1,Winter,No Holiday,Yes,12/10/2017
230,10/12/2017,235,14,4.2,85,0.7,325,1.8,0.65,0,1.4,Winter,No Holiday,Yes,12/10/2017
231,10/12/2017,180,15,6.7,63,4.5,715,0.1,0.35,0,1,Winter,No Holiday,Yes,12/10/2017
232,10/12/2017,214,16,5.4,71,3.5,622,0.5,0.2,0,0.5,Winter,No Holiday,Yes,12/10/2017
233,10/12/2017,226,17,3.6,65,4.3,1061,-2.3,0.03,0,0.4,Winter,No Holiday,Yes,12/10/2017
234,10/12/2017,210,18,2,61,3,2000,-4.7,0,0,0,Winter,No Holiday,Yes,12/10/2017
